educationorganizationid,namespace,surveyidentifier,surveyresponseidentifier,discriminator,createdate,lastmodifieddate,id,changeversion
"255901001","uri://gbisd.edu","CE_1","00050","NULL","2020-11-13 14:21:14.185556","2020-11-13 14:21:14.184625","4f94fead-7b40-4a7f-bd97-01d87e88c264","88433"
"255901001","uri://gbisd.edu","CE_1","00169","NULL","2020-11-13 14:21:14.185561","2020-11-13 14:21:14.184625","37a410f6-527f-493a-8df6-a9cba3d528ec","88435"
"255901001","uri://gbisd.edu","CE_1","00215","NULL","2020-11-13 14:21:14.197998","2020-11-13 14:21:14.197926","2a71bc9d-f502-40b9-90c7-a8d029273529","88437"
"255901001","uri://gbisd.edu","CE_1","00311","NULL","2020-11-13 14:21:14.199401","2020-11-13 14:21:14.199357","d3482981-8cbe-422a-b2d5-ba6951c5bf45","88440"
"255901001","uri://gbisd.edu","CE_1","00977","NULL","2020-11-13 14:21:14.205502","2020-11-13 14:21:14.205449","14710816-d48f-4dad-85d6-899475b7cde9","88441"
"255901001","uri://gbisd.edu","CE_1","01112","NULL","2020-11-13 14:21:14.210636","2020-11-13 14:21:14.210557","42580293-0098-4a91-93e4-2ae91286143e","88443"
"255901001","uri://gbisd.edu","CE_1","00031","NULL","2020-11-13 14:21:14.186541","2020-11-13 14:21:14.184625","53690fb1-29d3-4aaf-bbe4-ae1d1d6cbfb7","88436"
"255901001","uri://gbisd.edu","CE_1","00452","NULL","2020-11-13 14:21:14.198500","2020-11-13 14:21:14.198411","7e1a2a8a-7d9a-4b62-a333-c9ec0b4ddaa1","88438"
"255901001","uri://gbisd.edu","CE_1","00626","NULL","2020-11-13 14:21:14.205516","2020-11-13 14:21:14.205431","664dd159-2205-4704-9c3c-eb462329513d","88442"
"255901001","uri://gbisd.edu","CE_1","01235","NULL","2020-11-13 14:21:14.211336","2020-11-13 14:21:14.210556","c0801730-56a3-403d-84da-b39ee7047519","88444"
"255901001","uri://gbisd.edu","CE_1","00070","NULL","2020-11-13 14:21:14.185558","2020-11-13 14:21:14.184625","cad3d7d2-9d73-4095-b30b-5674f44f38de","88434"
"255901001","uri://gbisd.edu","CE_1","00533","NULL","2020-11-13 14:21:14.199343","2020-11-13 14:21:14.199293","e48fe612-969f-45e2-9dfc-10eaa3c6a664","88439"
