educationorganizationid,gradepointaveragetypedescriptorid,schoolyear,studentusi,termdescriptorid,iscumulative,gradepointaveragevalue,maxgradepointaveragevalue,createdate
"255901001","963","2011","408","2330",,"4.0000","4.0000","2020-11-13 14:21:14.693836"
"255901001","963","2011","407","2330","true","4.0000","4.0000","2020-11-13 14:21:14.694406"
"255901001","963","2011","404","2330","true","4.0000",,"2020-11-13 14:21:14.694319"
"255901001","963","2011","413","2330","true","4.0000","4.0000","2020-11-13 14:21:14.703292"
"255901001","963","2011","422","2330","true","4.0000","4.0000","2020-11-13 14:21:14.711998"
"255901001","963","2011","420","2330","true","4.0000","4.0000","2020-11-13 14:21:14.712141"
"255901001","963","2011","425","2330","true","4.0000","4.0000","2020-11-13 14:21:14.712692"
"255901001","963","2011","427","2330","true","4.0000","4.0000","2020-11-13 14:21:14.720333"
"255901001","963","2011","428","2330","true","4.0000","4.0000","2020-11-13 14:21:14.726924"
"255901001","963","2011","430","2330","true","4.0000","4.0000","2020-11-13 14:21:14.728282"
"255901001","963","2011","431","2330","true","4.0000","4.0000","2020-11-13 14:21:14.728495"
"255901001","963","2011","433","2330","true","4.0000","4.0000","2020-11-13 14:21:14.737362"
"255901001","963","2011","435","2330","true","4.0000","4.0000","2020-11-13 14:21:14.743172"
"255901001","963","2011","437","2330","true","4.0000",,"2020-11-13 14:21:14.743169"
"255901001","963","2011","439","2330","true","4.0000",,"2020-11-13 14:21:14.743852"
"255901001","963","2011","440","2330","true","4.0000",,"2020-11-13 14:21:14.753452"
"255901001","963","2011","442","2330","true","4.0000",,"2020-11-13 14:21:14.758612"
"255901001","963","2011","441","2330","true","4.0000",,"2020-11-13 14:21:14.758659"
"255901001","963","2011","443","2330","true","4.0000",,"2020-11-13 14:21:14.758955"
"255901001","963","2011","445","2330","true","4.0000",,"2020-11-13 14:21:14.774916"
"255901001","963","2011","446","2330","true","4.0000",,"2020-11-13 14:21:14.781190"
"255901001","963","2011","453","2330","true","4.0000",,"2020-11-13 14:21:14.781179"
"255901001","963","2011","452","2330","true","4.0000",,"2020-11-13 14:21:14.781179"
"255901001","963","2011","454","2330","true","4.0000",,"2020-11-13 14:21:14.791531"
"255901001","963","2011","456","2330","true","4.0000",,"2020-11-13 14:21:14.795778"
"255901001","963","2011","474","2330","true","4.0000",,"2020-11-13 14:21:14.811251"
"255901001","963","2011","467","2330","true","4.0000",,"2020-11-13 14:21:14.811252"
"255901001","963","2011","468","2330","true","4.0000",,"2020-11-13 14:21:14.811252"
"255901001","963","2011","477","2330","true","4.0000",,"2020-11-13 14:21:14.824105"
"255901001","963","2011","476","2330","true","4.0000",,"2020-11-13 14:21:14.825024"
"255901001","963","2011","481","2330","true","4.0000",,"2020-11-13 14:21:14.828744"
"255901001","963","2011","482","2330","true","4.0000",,"2020-11-13 14:21:14.828992"
"255901001","963","2011","483","2330","true","4.0000",,"2020-11-13 14:21:14.839046"
"255901001","963","2011","486","2330","true","4.0000",,"2020-11-13 14:21:14.839045"
"255901001","963","2011","488","2330","true","4.0000",,"2020-11-13 14:21:14.843800"
"255901001","963","2011","489","2330","true","4.0000",,"2020-11-13 14:21:14.844831"
"255901001","963","2011","493","2330","true","4.0000",,"2020-11-13 14:21:14.853994"
"255901001","963","2011","494","2330","true","4.0000",,"2020-11-13 14:21:14.853996"
"255901001","963","2011","496","2330","true","4.0000",,"2020-11-13 14:21:14.856931"
"255901001","963","2011","498","2330","true","4.0000",,"2020-11-13 14:21:14.860155"
"255901001","963","2011","499","2330","true","4.0000",,"2020-11-13 14:21:14.866774"
"255901001","963","2011","502","2330","true","4.0000",,"2020-11-13 14:21:14.868718"
"255901001","963","2011","506","2330","true","4.0000",,"2020-11-13 14:21:15.105465"
"255901001","963","2011","513","2330","true","4.0000",,"2020-11-13 14:21:15.108038"
"255901001","963","2011","512","2330","true","4.0000",,"2020-11-13 14:21:15.109440"
"255901001","963","2011","508","2330","true","4.0000",,"2020-11-13 14:21:15.110734"
"255901001","963","2011","515","2330","true","4.0000",,"2020-11-13 14:21:15.123494"
"255901001","963","2011","520","2330","true","4.0000",,"2020-11-13 14:21:15.123728"
"255901001","963","2011","528","2330","true","4.0000",,"2020-11-13 14:21:15.126622"
"255901001","963","2011","526","2330","true","4.0000",,"2020-11-13 14:21:15.130121"
"255901001","963","2011","529","2330","true","4.0000",,"2020-11-13 14:21:15.137964"
"255901001","963","2011","531","2330","true","4.0000",,"2020-11-13 14:21:15.138728"
"255901001","963","2011","538","2330","true","4.0000",,"2020-11-13 14:21:15.140308"
"255901001","963","2011","540","2330","true","4.0000",,"2020-11-13 14:21:15.148314"
"255901001","963","2011","543","2330","true","4.0000",,"2020-11-13 14:21:15.153719"
"255901001","963","2011","542","2330","true","4.0000",,"2020-11-13 14:21:15.154421"
"255901001","963","2011","547","2330","true","4.0000",,"2020-11-13 14:21:15.154758"
"255901001","963","2011","550","2330","true","4.0000",,"2020-11-13 14:21:15.163423"
"255901001","963","2011","560","2330","true","4.0000",,"2020-11-13 14:21:15.168125"
"255901001","963","2011","554","2330","true","4.0000",,"2020-11-13 14:21:15.168181"
"255901001","963","2011","564","2330","true","4.0000",,"2020-11-13 14:21:15.168241"
"255901001","963","2011","567","2330","true","4.0000",,"2020-11-13 14:21:15.177943"
"255901001","963","2011","570","2330","true","4.0000",,"2020-11-13 14:21:15.180867"
"255901001","963","2011","571","2330","true","4.0000",,"2020-11-13 14:21:15.183107"
"255901001","963","2011","573","2330","true","4.0000",,"2020-11-13 14:21:15.183833"
"255901001","963","2011","578","2330","true","4.0000",,"2020-11-13 14:21:15.194666"
"255901001","963","2011","574","2330","true","4.0000",,"2020-11-13 14:21:15.195887"
