educationorganizationid,schoolyear,studentusi,termdescriptorid,cumulativeearnedcredits,cumulativeearnedcredittypedescriptorid,cumulativeearnedcreditconversion,cumulativeattemptedcredits,cumulativeattemptedcredittypedescriptorid,cumulativeattemptedcreditconversion,cumulativegradepointsearned,cumulativegradepointaverage,gradevaluequalifier,projectedgraduationdate,sessionearnedcredits,sessionearnedcredittypedescriptorid,sessionearnedcreditconversion,sessionattemptedcredits,sessionattemptedcredittypedescriptorid,sessionattemptedcreditconversion,sessiongradepointsearned,sessiongradepointaverage,discriminator,createdate,lastmodifieddate,id,changeversion
"255901001","2011","408","2330","7.000",,,,,,,,,,,,,,,,,,"NULL","2020-11-13 14:21:14.690591","2020-11-13 14:21:14.664269","9f4eb176-1c01-4783-96dd-99ff189a3a18","88458"
"255901001","2011","425","2330","7.000",,,,,,,,,,,,,,,,,,"NULL","2020-11-13 14:21:14.711241","2020-11-13 14:21:14.711086","eb852643-5ad4-4ff5-b2b6-b1e72adebd4d","88463"
"255901001","2011","431","2330","7.000",,,,,,,,,,,,,,,,,,"NULL","2020-11-13 14:21:14.727253","2020-11-13 14:21:14.727080","8c41036e-a31b-4e75-8cfe-84b7a7d77203","88467"
"255901001","2011","439","2330","7.000",,,,,,,,,,,,,,,,,,"NULL","2020-11-13 14:21:14.742536","2020-11-13 14:21:14.742286","d96867df-225b-40aa-a294-dae37717a972","88471"
"255901001","2011","442","2330","7.000",,,,,,,,,,,,,,,,,,"NULL","2020-11-13 14:21:14.757347","2020-11-13 14:21:14.757145","13339df0-cf4e-4840-a74e-d57a969fb5b8","88473"
"255901001","2011","446","2330","7.000",,,,,,,,,,,,,,,,,,"NULL","2020-11-13 14:21:14.779739","2020-11-13 14:21:14.779573","0efca53b-185b-4f89-a14f-a68574632fed","88477"
"255901001","2011","468","2330","7.000",,,,,,,,,,,,,,,,,,"NULL","2020-11-13 14:21:14.795682","2020-11-13 14:21:14.795199","50925e48-5887-4934-8ef8-48dc71b81e09","88483"
"255901001","2011","483","2330","7.000",,,,,,,,,,,,,,,,,,"NULL","2020-11-13 14:21:14.837691","2020-11-13 14:21:14.837511","84106e95-f4da-4652-8d82-b6a79ddb44b4","88490"
"255901001","2011","493","2330","7.000",,,,,,,,,,,,,,,,,,"NULL","2020-11-13 14:21:14.852520","2020-11-13 14:21:14.852305","83904669-bb95-4a47-ae92-3c12c2e2bab8","88493"
"255901001","2011","499","2330","7.000",,,,,,,,,,,,,,,,,,"NULL","2020-11-13 14:21:14.865398","2020-11-13 14:21:14.865214","d1ca180f-66a4-4c94-83f4-37598bec6507","88497"
"255901001","2011","512","2330","7.000",,,,,,,,,,,,,,,,,,"NULL","2020-11-13 14:21:15.107858","2020-11-13 14:21:15.107656","e1cd9069-8c4c-450d-b3c5-ecc21ec197f7","88501"
"255901001","2011","529","2330","7.000",,,,,,,,,,,,,,,,,,"NULL","2020-11-13 14:21:15.136527","2020-11-13 14:21:15.136263","35babe02-cb74-41e6-8d76-062ca506d31a","88508"
"255901001","2011","547","2330","7.000",,,,,,,,,,,,,,,,,,"NULL","2020-11-13 14:21:15.153577","2020-11-13 14:21:15.153329","449d8562-2d15-43ea-8a78-eaf025379c0f","88513"
"255901001","2011","564","2330","7.000",,,,,,,,,,,,,,,,,,"NULL","2020-11-13 14:21:15.166974","2020-11-13 14:21:15.166717","9a7995c5-bb44-4e46-9686-9cad15f755f7","88517"
"255901001","2011","567","2330","7.000",,,,,,,,,,,,,,,,,,"NULL","2020-11-13 14:21:15.176446","2020-11-13 14:21:15.176167","2aaf3c9b-f65a-464d-92d1-ac93908b2c7c","88518"
"255901001","2011","573","2330","7.000",,,,,,,,,,,,,,,,,,"NULL","2020-11-13 14:21:15.182524","2020-11-13 14:21:15.182367","f9818896-e404-4d42-a521-ba524010d808","88521"
"255901001","2011","591","2330","7.000",,,,,,,,,,,,,,,,,,"NULL","2020-11-13 14:21:15.209822","2020-11-13 14:21:15.209662","adae99b7-ff4a-492c-bf65-f6fa9a9050b9","88528"
"255901001","2011","597","2330","7.000",,,,,,,,,,,,,,,,,,"NULL","2020-11-13 14:21:15.219002","2020-11-13 14:21:15.218807","781289c5-af5b-4335-988f-03723b585a04","88529"
"255901001","2011","613","2330","7.000",,,,,,,,,,,,,,,,,,"NULL","2020-11-13 14:21:15.239401","2020-11-13 14:21:15.239248","22289004-938b-4ea7-946d-e06d013f1a7b","88536"
"255901001","2011","635","2330","7.000",,,,,,,,,,,,,,,,,,"NULL","2020-11-13 14:21:15.279766","2020-11-13 14:21:15.279621","8efd9c39-e45e-4f8d-937f-edb982aa779d","88547"
"255901001","2011","652","2330","7.000",,,,,,,,,,,,,,,,,,"NULL","2020-11-13 14:21:15.294933","2020-11-13 14:21:15.294777","d3e3ecbc-9930-47d7-a850-2c41424835fd","88551"
"255901001","2011","655","2330","7.000",,,,,,,,,,,,,,,,,,"NULL","2020-11-13 14:21:15.309070","2020-11-13 14:21:15.308897","f3695f93-f040-4a1b-be34-10a725d866bf","88555"
"255901001","2011","663","2330","7.000",,,,,,,,,,,,,,,,,,"NULL","2020-11-13 14:21:15.322540","2020-11-13 14:21:15.322409","414e479e-23f6-4f35-85e1-085a5c8f8324","88559"
"255901001","2011","674","2330","7.000",,,,,,,,,,,,,,,,,,"NULL","2020-11-13 14:21:15.339104","2020-11-13 14:21:15.338795","8fd6b1d0-8d5a-4085-9708-7fa2d8e0c74b","88563"
"255901001","2011","684","2330","7.000",,,,,,,,,,,,,,,,,,"NULL","2020-11-13 14:21:15.348417","2020-11-13 14:21:15.347989","7839d017-b1ad-476e-986b-1fdd5d170bb4","88564"
"255901001","2011","688","2330","7.000",,,,,,,,,,,,,,,,,,"NULL","2020-11-13 14:21:15.352750","2020-11-13 14:21:15.352548","4c47adb0-9091-4606-ad7e-e31fca532c34","88566"
